Domain,Raw Requirements,Manual Evaluation,Automated,ChatGPT ,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Game,The Game must be programmed using the C# language and its libraries compatible with the Unity Engine,UA,A,A,,,,,
Game,The User shall be able to the select username and password for their account on the website.,UA,UA,UA,,,,,
Game,"Username and Password must be available to enter in the system, in order to access their account",A,UA,UA,,,,,
Game,"The website shall enable the players to select their respective teams, which will participate in the respective tournament.",A,UA,UA,,,,,
Game,"Each team players will have Names, Contacts numbers and their City names",UA,UA,UA,,,,,
Game,"Each player will have their own
FirstName
LastName
DOB email
contact no
city
address",UA,UA,UA,,,,,
Game,Each Players will have their own specific player id and team id.,UA,UA,UA,,,,,
Medical,The system shall enable the MOHA employee to log in to his account.,A,UA,A,,,,,
Medical,The system shall enable the patient to log in to his account.,UA,UA,A,,,,,
Medical,The system shall enable the patient to cancel his appointment.,UA,UA,A,,,,,
Medical,The system shall enable the patient to reschedule his appointment.,UA,UA,A,,,,,
Medical,The system shall enable the patient to change his personal data.,UA,UA,A,,,,,
Medical,The system shall enable the patient to see his personal data (personal data includes information about medication).,UA,UA,A,,,,,
Medical,The system shall enable the patient to delete values in his personal data.,UA,UA,A,,,,,
Medical,The system shall enable the patient to delete his account.,UA,UA,A,,,,,
Medical,The system shall enable the doctor to register his account.,UA,UA,A,,,,,
Medical,The system shall enable the doctor to log in to his account.,UA,UA,A,,,,,
Event,Admin clients can login through their pre-assigned username and password.,UA,UA,UA,,,,,
Event,Extra admin clients can either login using their manually registered credentials or social accounts (Gmail).,A,UA,UA,,,,,
Event,User will be kept logged in if they opt to stay singed in at the time of login in.,A,A,A,,,,,
Event,Clients will be provided associated access to their accounts after logging in.,UA,A,UA,,,,,
Event,Extra admin clients can get themselves registered against their email addresses.,UA,UA,UA,,,,,
Event,"Extra admin clients have to provide following information in order to register: Email, Password, Full Name, Profile Picture (Optional, About Me (Optional), Address (Optional).",A,UA,UA,,,,,
Event,Clients will be able to change password from their profile.,UA,A,UA,,,,,
Event,Clients will be asked to provide new password after confirming their old password.,UA,A,UA,,,,,
Event,Clients can request a link to reset their password if they have forgotten their password.,UA,A,A,,,,,
Event,Clients will receive a link in their mailboxes.,UA,A,UA,,,,,
Education,Seller/Renter can view the status of book whether it is delivered or not.,UA,A,A,,,,,
Education,Buyer can view status of book whether it is received or not.,UA,A,A,,,,,
