ID,Context(cj),Pronoun (pj),DetectedAs,
library#01,All material that is stored in the repository will enter it via the Ingest function.,it,AMBIGUOUS,
library#02,The library may want to accept important digital materials in non-standard formats in case we are able to migrate them to a more usable format in the future.,them,UNAMBIGUOUS,
library#03,"Once material has arrived, it must undergo several reviews, including virus checking, format compliance and anticipated content and file type.",it,UNAMBIGUOUS,
library#04,Allows resources to be reviewed before a decision is made whether they should be retained.,they,UNAMBIGUOUS,
library#05,Allows metadata to be stored in a database in a manner that conforms to repository reformatting and linked to their corresponding objects via an identifier.,their,UNAMBIGUOUS,
library#06,The Coordinate Updates function also incorporates the storage identification information into the Descriptive Information for the AIP and transfers it to the Data Management entity along with a database update request.,it,AMBIGUOUS,
library#07,"Archival Storage functions include receiving AIPs from Ingest and adding them to permanent storage, managing the storage hierarchy, refreshing the media on which archive holdings are stored, performing routine and special error checking, providing disaster recovery capabilities, and providing AIPs to Access to fulfill orders.",them,UNAMBIGUOUS,
library#10,"However, the data constituting the Packaging Information may be changed as long as it continues to perform the same function and there is a straightforward implementation that does not cause information loss.",it,AMBIGUOUS,
library#11-a,"The migration strategy must select a storage medium, taking into consideration the expected and actual rates of errors encountered in various media types, their performance, and their costs of ownership.",their,AMBIGUOUS,
library#11-b,"The migration strategy must select a storage medium, taking into consideration the expected and actual rates of errors encountered in various media types, their performance, and their costs of ownership.",their,AMBIGUOUS,
library#12-a,This function receives an AIP request that identifies the requested AIP(s) and provides them on the requested media type or transfers them to a staging area.,them,UNAMBIGUOUS,
library#12-b,This function receives an AIP request that identifies the requested AIP(s) and provides them on the requested media type or transfers them to a staging area.,them,UNAMBIGUOUS,
library#13,"The Generate Report function receives a report request from Ingest, Access or Administration and executes any queries or other processes necessary to generate the report that it supplies to the requester.",it,AMBIGUOUS,
library#15,"Administration functions include soliciting and negotiating submission agreements with producers, auditing submissions to ensure that they meet archive standards, and maintaining configuration management of system hardware and software.",they,AMBIGUOUS,
library#16,Audits data in SIPs or AIPs to ensure that they meet specified requirements.,they,AMBIGUOUS,
library#17,The Activate Requests function maintains a record of event-driven requests and periodically compares it to the contents of the archive to determine if all needed data is available.,it,AMBIGUOUS,
library#18,Maintains a record of event-driven events and compares it to the contents of the repository.,it,UNAMBIGUOUS,
library#19,The Monitor Designated Community function interacts with archive Consumers and Producers to track changes in their service requirements and available product technologies.,their,UNAMBIGUOUS,
library#20,Interacts with repository users and content providers to track changes in their service requirements and available product technologies.,their,AMBIGUOUS,
library#21,"This function receives reports from the Monitor Designated Communities and Monitor Technology functions, and it receives performance information, inventory reports and summarized consumer comments from Administration.",it,UNAMBIGUOUS,
library#22,This function also receives external data standards from Monitor Technology and produces profiles of those standards that are sent to Administration as proposals on their potential usage.,their,AMBIGUOUS,
library#23,Produces profiles of those standards that are sent to Administration as proposals on their potential usage.,their,AMBIGUOUS,
library#24,NLM will test preservation actions in order to determine their effectiveness across a range of digital objects.,their,AMBIGUOUS,
library#25,"NLM System Administration/Programming Access, ultimate rights to the system, required for its management, development, and for assigning appropriate rights to users.",its,AMBIGUOUS,
weather#01,The Clarus system shall process data as they are received.,they,UNAMBIGUOUS,
weather#02,The Clarus system shall be able to base its quality control process on values from multiple observations.,its,UNAMBIGUOUS,
weather#03,The Clarus system shall be able to communicate with RWIS databases through their native interfaces.,their,UNAMBIGUOUS,
weather#04,The Clarus system shall be able to collect data from sources within 5 minutes of them becoming available.,them,AMBIGUOUS,
weather#05,The CAS shall be configurable to allow new observation types to be implemented as they become available.,they,UNAMBIGUOUS,
weather#06,CS shall collect environmental data based on its configured schedule.,its,AMBIGUOUS,
weather#07,CS shall be able to dynamically adjust its retrieval schedules when environmental data is expected to be ready but is temporarily delayed.,its,UNAMBIGUOUS,
weather#08,CS shall process environmental data as they are received.,they,UNAMBIGUOUS,
weather#09,The Clarus system shall be able to communicate with environmental sensor stations through its collector using the NTCIP ESS 1204.,its,AMBIGUOUS,
weather#10,CS shall be able to accept data from an RWIS database in its native output format.,its,AMBIGUOUS,
weather#11,The Clarus system shall be able to communicate with an individual ESS through its native interface.,its,AMBIGUOUS,
weather#12,The DOG shall be able to monitor new environmental data services as they are added.,they,UNAMBIGUOUS,
weather#13,The DOG shall be able to record its activities.,its,UNAMBIGUOUS,
weather#14,The QEDC shall maintain observations and their associated quality flags for seven days.,their,UNAMBIGUOUS,
weather#15,The QEDC shall support queries for its observations.,its,UNAMBIGUOUS,
weather#16,QEDS shall log their activities.,their,AMBIGUOUS,
weather#18,The contributors shall define the units of measurements of their shared data and information.,their,UNAMBIGUOUS,
weather#19,The Clarus program shall determine how it will provide data and information to contributors.,it,UNAMBIGUOUS,
weather#20,The Clarus program shall inform contributors of the acceptance and use of their data and information.,their,UNAMBIGUOUS,
railway#01,The logon screen shall activate command control for the user if the user requests it and has authorization.,it,UNAMBIGUOUS,
railway#02,"When a device status has been overridden, on the screen it shall appear with different color from the normal and alarm status colors.",it,UNAMBIGUOUS,
