Id,Hashed_Context,Pronoun,Position,Candidate_Antecedent,Manual Evaluation,Predicate,Antecedent_Role,Pronoun_Role,SRL_Match,Predicate_Distance
0-its-0,The Game must be programmed using the C# language and its#0libraries compatible with the Unity Engine,its,11,The Game,UA,programmed,ARG1,ARGM-MNR,0,0
0-its-0,The Game must be programmed using the C# language and its#0libraries compatible with the Unity Engine,its,11,the C# language,UA,programmed,ARGM-MNR,ARGM-MNR,1,0
0-its-0,The Game must be programmed using the C# language and its#0libraries compatible with the Unity Engine,its,11,the C# language and its libraries,UA,programmed,ARGM-MNR,ARGM-MNR,1,0
1-their-0,The User shall be able to the select username and password for their#0account on the website.,their,12,The User,UA,be,ARG1,ARG2,1,0
2-their-0,"Username and Password must be available to enter in the system, in order to access their#0account",their,16,Username,A,be,ARG1,ARG2,1,0
2-their-0,"Username and Password must be available to enter in the system, in order to access their#0account",their,16,Username and Password,A,be,ARG1,ARG2,1,0
2-their-0,"Username and Password must be available to enter in the system, in order to access their#0account",their,16,Password,A,be,ARG1,ARG2,1,0
2-their-0,"Username and Password must be available to enter in the system, in order to access their#0account",their,16,the system,A,be,ARG2,ARG2,1,0
2-their-0,"Username and Password must be available to enter in the system, in order to access their#0account",their,16,order,A,be,ARG2,ARG2,1,0
3-their-0,"The website shall enable the players to select their#0respective teams, which will participate in the respective tournament.",their,8,The website,A,enable,ARG0,ARG1,1,0
3-their-0,"The website shall enable the players to select their#0respective teams, which will participate in the respective tournament.",their,8,the players,A,enable,ARG2,ARG1,1,0
4-their-0,"Each team players will have Names, Contacts numbers and their#0City names",their,10,Each team players,UA,have,ARG0,ARG1,1,0
4-their-0,"Each team players will have Names, Contacts numbers and their#0City names",their,10,Names,UA,have,ARG1,ARG1,1,0
4-their-0,"Each team players will have Names, Contacts numbers and their#0City names",their,10,Contacts numbers,UA,have,ARG1,ARG1,1,0
4-their-0,"Each team players will have Names, Contacts numbers and their#0City names",their,10,Contacts numbers and their City names,UA,have,ARG1,ARG1,1,0
5-their-0,"Each player will have their#0own
FirstName
LastName
DOB email
contact no
city
address",their,4,Each player,UA,have,ARG0,ARG1,1,0
6-their-0,Each Players will have their#0own specific player id and team id.,their,4,Each Players,UA,have,ARG0,ARG1,1,0
7-his-0,The system shall enable the MOHA employee to log in to his#0account.,his,11,The system,A,enable,ARG0,ARG1,1,0
7-his-0,The system shall enable the MOHA employee to log in to his#0account.,his,11,the MOHA employee,A,enable,ARG2,ARG1,1,0
8-his-0,The system shall enable the patient to log in to his#0account.,his,10,The system,UA,enable,ARG0,ARG1,1,0
8-his-0,The system shall enable the patient to log in to his#0account.,his,10,the patient,UA,enable,ARG2,ARG1,1,0
9-his-0,The system shall enable the patient to cancel his#0appointment.,his,8,The system,UA,enable,ARG0,ARG1,1,0
9-his-0,The system shall enable the patient to cancel his#0appointment.,his,8,the patient,UA,enable,ARG2,ARG1,1,0
10-his-0,The system shall enable the patient to reschedule his#0appointment.,his,8,The system,UA,enable,ARG0,ARG1,1,0
10-his-0,The system shall enable the patient to reschedule his#0appointment.,his,8,the patient,UA,enable,ARG2,ARG1,1,0
11-his-0,The system shall enable the patient to change his#0personal data.,his,8,The system,UA,enable,ARG0,ARG1,1,0
11-his-0,The system shall enable the patient to change his#0personal data.,his,8,the patient,UA,enable,ARG2,ARG1,1,0
12-his-0,The system shall enable the patient to see his#0personal data (personal data includes information about medication).,his,8,The system,UA,enable,ARG0,ARG1,1,0
12-his-0,The system shall enable the patient to see his#0personal data (personal data includes information about medication).,his,8,the patient,UA,enable,ARG2,ARG1,1,0
13-his-0,The system shall enable the patient to delete values in his#0personal data.,his,10,The system,UA,enable,ARG0,ARG1,1,0
13-his-0,The system shall enable the patient to delete values in his#0personal data.,his,10,the patient,UA,enable,ARG2,ARG1,1,0
13-his-0,The system shall enable the patient to delete values in his#0personal data.,his,10,values,UA,enable,ARG1,ARG1,1,0
14-his-0,The system shall enable the patient to delete his#0account.,his,8,The system,UA,enable,ARG0,ARG1,1,0
14-his-0,The system shall enable the patient to delete his#0account.,his,8,the patient,UA,enable,ARG2,ARG1,1,0
15-his-0,The system shall enable the doctor to register his#0account.,his,8,The system,UA,enable,ARG0,ARG1,1,0
15-his-0,The system shall enable the doctor to register his#0account.,his,8,the doctor,UA,enable,ARG2,ARG1,1,0
16-his-0,The system shall enable the doctor to log in to his#0account.,his,10,The system,UA,enable,ARG0,ARG1,1,0
16-his-0,The system shall enable the doctor to log in to his#0account.,his,10,the doctor,UA,enable,ARG2,ARG1,1,0
